Funder,closed,gold,diamond,bronze,green,hybrid,Total,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
"111 Project of Qinghai Province, China",1,0,0,0,0,0,1,0,1,0,100
"111 Project, ChinaMinistry of Education, China - 111 Project",1,0,0,0,0,0,1,0,1,0,100
"111 ProjectMinistry of Education, China - 111 Project",6,6,0,1,0,1,14,57,6,0,100
111 program of Ministry of Education P.R.C,0,1,0,0,0,0,1,100,0,0,100
1121035,0,1,0,0,0,1,2,100,0,0,100
1125687,0,0,0,1,0,0,1,100,0,0,100
113,1,0,0,0,0,0,1,0,1,0,100
"1132519, 1154265",1,0,0,0,0,0,1,0,0,0,0
"113327, 96111",1,0,0,0,1,0,2,50,1,0,100
1141460,1,0,0,0,0,0,1,0,0,0,0
1142348,0,1,0,0,0,0,1,100,0,0,100
1152968,0,1,0,0,0,0,1,100,0,0,100
"115736, 115952",0,1,0,0,0,0,1,100,0,0,100
116074,0,0,0,0,0,1,1,100,0,0,100
1161371,0,0,0,0,0,1,1,100,0,0,100
1180167,1,0,0,0,0,0,1,0,1,0,100
1180854,1,0,0,0,0,0,1,0,1,0,100
"12-01, 12-MP03",1,0,0,0,0,0,1,0,1,0,100
"12-01, 12MP03",1,0,0,0,0,0,1,0,0,0,0
12-MP03,1,0,0,0,0,0,1,0,1,0,100
12/0004431,0,0,0,0,0,1,1,100,0,0,100
"12/15/4086, ACTRN12610000960411",0,0,0,1,0,0,1,100,0,0,100
12/RC/2272,1,2,0,0,2,0,5,80,0,1,100
121/2000,0,0,0,0,1,0,1,100,0,0,100
1216004,1,2,0,0,0,0,3,66,1,0,100
"1216004, STF-13-22",0,1,0,0,0,0,1,100,0,0,100
"1241932, 1638702, EVA4.0",0,0,0,0,0,1,1,100,0,0,100
12511,0,0,0,0,0,1,1,100,0,0,100
12815/1,1,0,0,0,0,0,1,0,1,0,100
"12815/1, SUB1301, UOOX1508",0,1,0,0,0,0,1,100,0,0,100
13-UOA-032,0,0,0,1,0,0,1,100,0,0,100
13/003,1,0,0,0,0,0,1,0,1,0,100
1314,0,0,0,0,1,0,1,100,0,0,100
1315002,1,0,0,0,0,0,1,0,1,0,100
1326927,0,0,0,0,1,0,1,100,0,0,100
13th Five -Year National Key Development Program of China,1,0,0,0,0,0,1,0,1,0,100
13th Five-Year National Key R&D Program of China,1,0,0,0,0,0,1,0,1,0,100
13th Five-Year Weapons Innovation Foundation of China,1,0,1,0,2,0,4,75,1,0,100
13th Five-Year Weapons Innovation Foundation of China: 6141B012807,0,0,0,0,1,0,1,100,0,0,100
14-MAU-053,0,1,0,0,0,0,1,100,0,0,100
"14-SCA-UCHC-02, 16-RMB-UCHC-10, AR066028, OR140396",1,0,0,0,0,0,1,0,1,0,100
"14-SCA-UCHC-02, R01AR055607",0,0,0,0,0,1,1,100,0,0,100
"14-UOA-121, RFT-UOA1601-PD",0,0,0,1,0,0,1,100,0,0,100
14-UOA-125,0,2,0,0,0,0,2,100,0,0,100
14-UOA-210,0,0,0,0,0,1,1,100,0,0,100
14/174,0,0,0,0,0,1,1,100,0,0,100
14/191,0,0,0,1,0,0,1,100,0,0,100
"14/538, 16/120",1,0,0,0,0,0,1,0,1,0,100
14/605,0,1,0,0,0,0,1,100,0,0,100
14/613,1,0,0,0,0,0,1,0,0,0,0
14/U687,1,1,0,0,0,0,2,50,1,0,100
14/U690,2,0,0,0,0,0,2,0,1,1,100
"14/US/I3113, 17/CDA/ 4637, 18/TIDA/6139",0,0,0,0,0,1,1,100,0,0,100
1408,0,1,0,0,0,0,1,100,0,0,100
14136,0,0,0,0,0,1,1,100,0,0,100
142300410016,1,0,0,0,0,0,1,0,1,0,100
1431AFG110,0,0,0,0,0,1,1,100,0,0,100
14503718,0,1,0,0,0,0,1,100,0,0,100
"1451527, 14‐TE14‐0012",1,0,0,0,0,0,1,0,0,0,0
"1457112, 1457333",0,0,0,1,0,0,1,100,0,0,100
1460339,1,0,0,0,0,0,1,0,0,0,0
14th Six Talent Peaks Project in Jiangsu Province,1,0,0,0,0,0,1,0,1,0,100
"15-0220, 17-0428",0,0,0,0,1,0,1,100,0,0,100
15-02688,1,0,0,0,0,0,1,0,0,0,0
"15-MAU-001, PAF1301",0,0,0,0,0,1,1,100,0,0,100
15-PAF-002_FS,1,0,0,0,0,0,1,0,1,0,100
15-PAF-007,0,1,0,0,0,0,1,100,0,0,100
15-UOA-209,0,1,0,0,0,0,1,100,0,0,100
15/403,1,1,0,0,0,0,2,50,0,1,100
15/496,0,1,0,0,0,0,1,100,0,0,100
