Department,Total,closed,gold,diamond,bronze,green,hybrid,Journal articles,Open,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
"Auckland Council, Auckland, New Zealand, School of Biological Sciences, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland Council, Research and Evaluation Unit (RIMU), Auckland, New Zealand, School of Biological Sciences, University of Auckland",1,0,0,0,0,1,0,1,1,100%,0,0,100%
"Auckland Diabetes Centre, Auckland City Hospital, Auckland, Aotearoa, New Zealand, Faculty of Medical and Health Sciences, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Auckland Diabetes Centre, Auckland District Health Board, Auckland, New Zealand, Whitiora Diabetes Department, Counties Manukau District Health Board, Auckland, New Zealand, Department of Medicine, Faculty of Medical and Health Sciences, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland District Health Board (ADHB), Auckland, New Zealand, Centre of Brain Research Neurogenetics Research Clinic, University of Auckland",1,0,0,0,0,0,1,1,1,100%,0,0,100%
Auckland District Health Board and University of Auckland,3,2,0,0,1,0,0,3,1,33%,2,0,100%
Auckland District Health Board and the University of Auckland,1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland District Health Board, Auckland, New Zealand, Department of Paediatrics: Child and Youth Health, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland District Health Board, Auckland, New Zealand, Department of Psychological Medicine, University of Auckland",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"Auckland District Health Board, Auckland, New Zealand, School of Medicine, Faculty of Medical and Health Sciences, University of Auckland",2,0,1,0,0,0,1,2,2,100%,0,0,100%
"Auckland District Health Board, Faculty of Medical and Health Sciences, University of Auckland",1,0,0,0,0,1,0,1,1,100%,0,0,100%
"Auckland District Health Board, Grafton, Auckland, New Zealand, School of Medical Sciences, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Auckland District Health Board, Grafton, New Zealand, Centre for Brain Research, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland District Health Board, Grafton, New Zealand, Department of Surgery and Paediatrics: Child and Youth Health, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland District Health Board, University of Auckland",1,0,0,0,0,1,0,1,1,100%,0,0,100%
"Auckland Genomics, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland Law School, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland Museum, Auckland, New Zealand, School of Biological Sciences, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland Museum, Private Bag 92018, Auckland, 1141, New Zealand, School of Biological Sciences, University of Auckland",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"Auckland Regional Cancer and Blood Service, Auckland City Hospital, Private Bag 92024, Auckland, 1142, New Zealand, Cancer Trials New Zealand, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland Regional Pain Service (TARPS), Auckland, New Zealand, Department of Psychological Medicine, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland Regional Plastic & Reconstructive Surgery Unit, Private Bag 93311, Otahuhu, Auckland, 1640, New Zealand, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland Regional Plastic Surgery Unit, Middlemore Hospital, Auckland, New Zealand, The University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland Regional Plastic, Reconstructive & Hand Surgery Unit, Auckland, New Zealand, University of Auckland",2,2,0,0,0,0,0,2,0,0%,1,0,50%
"Auckland University of Technology, Auckland, New Zealand, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Auckland University of Technology, University of Auckland",1,1,0,0,0,0,0,1,0,0%,0,0,0%
"Audiology Section, School of Population Health, The University of Auckland",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"Audiology Section, School of Population Health, University of Auckland",2,0,2,0,0,0,0,2,2,100%,0,0,100%
"Audiology Section, The University of Auckland",2,2,0,0,0,0,0,2,0,0%,2,0,100%
"Audiology Section, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Augmented Human Lab, ABI, University of Auckland",2,2,0,0,0,0,0,0,0,,0,0,0%
"Augmented Human Lab, Auckland Bioengineering Institute, The University of Auckland",2,0,2,0,0,0,0,2,2,100%,0,0,100%
"Augmented Human Lab, Auckland Bioengineering Institute, University of Auckland",8,7,0,0,1,0,0,0,0,,0,0,0%
"Augmented Human Lab., Auckland Bioengineering Institute, University of Auckland",3,3,0,0,0,0,0,0,0,,0,0,0%
"Augmented Human Laboratory, Auckland Bioengineering Institute, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Australasian Students' Surgical Association, Australia, Department of Surgery, Faculty of Medical and Health Sciences, The University of Auckland",1,1,0,0,0,0,0,0,0,,0,0,0%
"Australia & New Zealand Academy for Eating Disorders, Sydney, Australia, Department of General Practice and Primary Health Care, Faculty of Medical & Health Sciences, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Australia & New Zealand Academy for Eating Disorders, Sydney, Australia, Faculty of Medical & Health Sciences, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Australian Centre for Ancient DNA (ACAD), University of Adelaide, Adelaide, SA  5005, Australia, School of Biological Sciences, University of Adelaide, Adelaide, SA  5005, Australia, School of Environment, The University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Australian Centre for Ecogenomics, School of Chemistry and Molecular Biosciences, The University of Queensland, St Lucia, QLD, Australia, School of Biological Sciences, University of Auckland",1,1,0,0,0,0,0,1,0,0%,0,0,0%
"Australian Genome Research Facility Ltd, Walter and Eliza Hall Institute, Parkville, VIC, Australia, School of Biological Sciences, University of Auckland",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Australian and New Zealand Intensive Care Research Centre, School of Public Health and Preventative Medicine, Monash University, Melbourne, VIC, Australia, Cardiothoracic and Vascular Intensive Care Unit, Auckland City Hospital, Grafton, Auckland, New Zealand, Faculty of Medical and Health Sciences, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Australian and New Zealand Intensive Care Research Centre, School of Public Health and Preventative Medicine, Monash University, Melbourne, VIC, Australia, Cardiothoracic and Vascular Intensive Care Unit, Auckland City Hospital, Grafton, Auckland, New Zealand, Medical Research Institute of New Zealand, Wellington, New Zealand, Faculty of Medical and Health Sciences, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Axis Sports Medicine Specialists, Auckland, New Zealand, School of Population Health, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Baxter Healthcare (Asia) Pte Ltd, Medical Affairs, Singapore, 189673, Singapore, School of Medicine, Faculty of Medical and Health Sciences, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Baxter Healthcare (Asia) Pte Ltd, Singapore, School of Medicine, University of Auckland",1,0,0,0,0,0,1,1,1,100%,0,0,100%
