Funder,closed,gold,diamond,bronze,green,hybrid,Total,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
"Association of Commonwealth Universities, ACU",1,0,0,0,0,0,1,0,1,0,100
"Association of Research Libraries, ARL",0,2,0,0,0,0,2,100,0,0,100
Auckland Council,0,0,0,0,1,0,1,100,0,0,100
"Australian Centre for International Agricultural Research, ACIAR",1,0,0,0,0,0,1,0,1,0,100
"Australian Education International, Australian Government, AEI",0,1,0,0,0,0,1,100,0,0,100
Australian Government Endeavour Program Postgraduate Scholarship,1,0,0,0,0,0,1,0,1,0,100
"Australian Government Research Training Program ScholarshipAustralian GovernmentDepartment of Industry, Innovation and Science",0,1,0,0,0,0,1,100,0,0,100
Australian Government through the AUSTRALIAN RESEARCH COUNCILAustralian Research Council,0,1,0,0,0,0,1,100,0,0,100
Australian Government through the Australian Research CouncilAustralian Research Council,0,4,0,0,0,1,5,100,0,0,100
"Australian Government's CRCs ProgrammeAustralian GovernmentDepartment of Industry, Innovation and ScienceCooperative Research Centres (CRC) Programme",1,0,0,0,0,0,1,100,0,0,100
Australian GovernmentAustralian GovernmentCGIAR,1,0,0,0,0,0,1,0,1,0,100
"Australian National University, ANU",1,0,0,0,1,0,2,50,1,0,100
Australian Plant Biosecurity Science Foundation,0,0,0,0,0,1,1,100,0,0,100
Australian Research Council,4,0,0,0,1,1,6,33,4,0,100
Australian Research Council (ARC) Laureate FellowshipAustralian Research Council,1,0,0,0,0,0,1,0,1,0,100
Australian Research Council Centre of Excellence in Plant Cell WallsAustralian Research Council,1,0,0,0,0,0,1,0,1,0,100
Australian Research Council Training Centre for Innovative Wine ProductionAustralian Research Council,0,1,0,0,0,0,1,100,0,0,100
"Australian Research Council, ARC",3,7,0,0,0,2,12,75,3,0,100
"Australian Research Council, ARC: ARC-FT100150200",1,0,0,0,0,0,1,0,1,0,100
"Australian Research Council, ARC: DP150101839",0,0,0,0,0,1,1,100,0,0,100
"Australian Research Council, ARC: DP1501104449",1,0,0,0,0,0,1,0,1,0,100
"Australian Research Council, ARC: IC130100005",0,1,0,0,0,0,1,100,0,0,100
"Australian Research Council, ARC: ICI70100008",0,1,0,0,0,0,1,100,0,0,100
"Australian Research Council, ARC: IH120100053",0,5,0,0,0,1,6,100,0,0,100
"Australian Research Council, ARC: LF160100155",1,0,0,0,0,0,1,0,1,0,100
Australian Seafood Cooperative Research Centre,1,0,0,0,0,0,1,0,0,1,100
Australian government through the Australian Research CouncilAustralian Research Council,0,1,0,0,0,0,1,100,0,0,100
"Austrian Ministry for Agriculture, Silviculture, Environment and Water Management (BMLFUW)",0,0,1,0,0,0,1,100,0,0,100
Austrian Science Foundation FWF (AlienScenarios)Austrian Science Fund (FWF),0,0,0,0,1,0,1,100,0,0,100
Austrian Science Foundation FWFAustrian Science Fund (FWF),0,1,0,0,1,2,4,100,0,0,100
"Austrian Science Fund, FWF",0,1,0,0,0,3,4,100,0,0,100
"Austrian Science Fund, FWF: 01LC1807B, I 4011‐B32",0,0,0,0,0,1,1,100,0,0,100
"Austrian Science Fund, FWF: I 3757‐B29",0,0,0,0,0,1,1,100,0,0,100
"Austrian Science Fund, FWF: I 3757‐B29, I 4011‐B32",0,0,0,0,0,1,1,100,0,0,100
"Austrian Science Fund, FWF: I2086‐B16",0,1,0,0,0,0,1,100,0,0,100
Austrian Science FundAustrian Science Fund (FWF),0,0,0,0,0,2,2,100,0,0,100
Avalon,0,0,0,0,0,1,1,100,0,0,100
B+LNZ (High Country Futures),1,0,0,0,0,0,1,0,0,1,100
B12007,3,0,0,0,0,0,3,0,3,0,100
