Department,Total,closed,gold,diamond,bronze,green,hybrid,Journal articles,Open,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
"Cardiovascular Research Institute, National University Heart Centre, Singapore, Singapore, University of Otago",1,0,0,0,1,0,0,1,1,100%,0,0,100%
"Cardiovascular Research Institute, National University Heart Centre, Singapore, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Cardiovascular Research Institute, National University of Singapore, Singapore, Christchurch Heart Institute, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Cardiovascular Research Institute, National University of Singapore, Singapore, Singapore, Christchurch Heart Institute, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Cardiovascular Research Institute, National University of Singapore, Singapore, Singapore, Department of Cardiology, National University Heart Centre, Singapore, Singapore, Christchurch Heart Institute, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Cardiovascular Research Institute, Yong Loo Lin School of Medicine, National University of Singapore, Singapore, 119228, Singapore, Christchurch Heart Institute, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Center for Bioengineering and Nanomedicine, Department of Food Science, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Center for Brain and Behavior Research, Division of Basic Biomedical Sciences, Sanford School of Medicine, University of South Dakota, 414 E. Clark St., Vermillion, SD  57069, United States, Department of Anatomy and Brain Health Research Centre, University of Otago",1,0,0,0,0,1,0,1,1,100%,0,0,100%
"Center for Health Activity and Rehabilitation Research, School of Physiotherapy, University of Otago",3,3,0,0,0,0,0,3,0,0%,3,0,100%
"Center for Health Literacy and Rural Health Promotion, Accra, Ghana, Department of Preventive and Social Medicine, Dunedin School of Medicine, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Center for International Health, University of Otago",3,0,2,0,1,0,0,3,3,100%,0,0,100%
"Center for Theology and Public Issues, University of Otago",1,1,0,0,0,0,0,0,0,,0,0,0%
"Center of Bioengineering and Nanomedicine, Department of Food Science, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Centre for Adolescent Health, Murdoch Children's Research Institute, Parkville, Melbourne, VIC  3052, Australia, School of Population and Public Health, University of British Columbia, Vancouver, BC, Canada, Department of Sociological Studies, University of Sheffield, Sheffield, United Kingdom, Dunedin School of Medicine, University of Otago",1,0,0,0,0,1,0,0,0,,0,0,0%
"Centre for Bioengineering & Nanomedicine, Department of Food Science, Division of Sciences, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Centre for Bioengineering and Nanomedicine (Dunedin), University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Bioengineering and Nanomedicine, Department of Food Science, Division of Sciences, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Bioengineering and Nanomedicine, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Biomedical Ethics, National University of Singapore, Department of Primary Health Care and General Practice [Wellington], and Bioethics Centre [Dunedin], University of Otago",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Centre for Biomedical Ethics, National University of Singapore, Singapore, Singapore, Department of Primary Health Care and General Practice [Wellington], Bioethics Centre [Dunedin], University of Otago",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"Centre for Biomedical Ethics, Yong Loo Lin School of Medicine, National University of Singapore, Singapore, Singapore, Department of Primary Health Care and General Practice, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
